,rates,names,names,names.1
0,4.131027,0.0,0.0,AED
1,96.584465,1.0,1.0,AFN
2,103.283387,2.0,2.0,ALL
3,437.629608,3.0,3.0,AMD
4,2.021875,4.0,4.0,ANG
5,926.402426,5.0,5.0,AOA
6,297.54874,6.0,6.0,ARS
7,1.644494,7.0,7.0,AUD
8,2.027216,8.0,8.0,AWG
9,1.916402,9.0,9.0,AZN
10,1.955485,10.0,10.0,BAM
11,2.265136,11.0,11.0,BBD
12,122.030372,12.0,12.0,BDT
13,1.955685,13.0,13.0,BGN
14,0.423232,14.0,14.0,BHD
15,3173.789502,15.0,15.0,BIF
16,1.124669,16.0,16.0,BMD
17,1.481462,17.0,17.0,BND
18,7.751753,18.0,18.0,BOB
19,5.401488,19.0,19.0,BRL
20,1.12182,20.0,20.0,BSD
21,3.70602e-05,21.0,21.0,BTC
22,92.128881,22.0,22.0,BTN
23,14.722632,23.0,23.0,BWP
24,2.831745,24.0,24.0,BYN
25,22043.514343,25.0,25.0,BYR
26,2.261336,26.0,26.0,BZD
27,1.487657,27.0,27.0,CAD
28,2772.309736,28.0,28.0,CDF
29,0.970887,29.0,29.0,CHF
30,0.033178,30.0,30.0,CLF
31,910.303579,31.0,31.0,CLP
32,8.031379,32.0,32.0,CNY
33,4597.460507,33.0,33.0,COP
34,610.301834,34.0,34.0,CRC
35,1.124669,35.0,35.0,CUC
36,29.803731,36.0,36.0,CUP
37,110.242268,37.0,37.0,CVE
38,23.816837,38.0,38.0,CZK
39,199.747871,39.0,39.0,DJF
40,7.461509,40.0,40.0,DKK
41,62.779902,41.0,41.0,DOP
42,150.919725,42.0,42.0,DZD
43,34.69242,43.0,43.0,EGP
44,16.870036,44.0,44.0,ERN
45,61.751567,45.0,45.0,ETB
46,1.0,46.0,46.0,EUR
47,2.450884,47.0,47.0,FJD
48,0.857773,48.0,48.0,FKP
49,0.859116,49.0,49.0,GBP
50,2.896068,50.0,50.0,GEL
51,0.857773,51.0,51.0,GGP
52,12.760947,52.0,52.0,GHS
53,0.857773,53.0,53.0,GIP
54,67.08695,54.0,54.0,GMD
55,9645.448548,55.0,55.0,GNF
56,8.803584,56.0,56.0,GTQ
57,235.762078,57.0,57.0,GYD
58,8.789069,58.0,58.0,HKD
59,27.612559,59.0,59.0,HNL
60,7.562116,60.0,60.0,HRK
61,155.934918,61.0,61.0,HTG
62,374.886387,62.0,62.0,HUF
63,16873.410494,63.0,63.0,IDR
64,4.056147,64.0,64.0,ILS
65,0.857773,65.0,65.0,IMP
66,92.310033,66.0,66.0,INR
67,1469.663607,67.0,67.0,IQD
68,47545.386563,68.0,68.0,IRR
69,147.152139,69.0,69.0,ISK
70,0.857773,70.0,70.0,JEP
71,173.492094,71.0,71.0,JMD
72,0.797732,72.0,72.0,JOD
73,155.997272,73.0,73.0,JPY
74,159.534339,74.0,74.0,KES
75,98.825106,75.0,75.0,KGS
76,4630.255232,76.0,76.0,KHR
77,493.730129,77.0,77.0,KMF
78,1012.170132,78.0,78.0,KPW
79,1427.576659,79.0,79.0,KRW
80,0.344442,80.0,80.0,KWD
81,0.93495,81.0,81.0,KYD
82,499.489658,82.0,82.0,KZT
83,21475.5457,83.0,83.0,LAK
84,16839.291432,84.0,84.0,LBP
85,359.572164,85.0,85.0,LKR
86,206.605959,86.0,86.0,LRD
87,20.294698,87.0,87.0,LSL
88,3.320856,88.0,88.0,LTL
89,0.680302,89.0,89.0,LVL
90,5.331142,90.0,90.0,LYD
91,10.805062,91.0,91.0,MAD
92,20.215748,92.0,92.0,MDL
93,5067.184953,93.0,93.0,MGA
94,61.600092,94.0,94.0,MKD
95,2355.921055,95.0,95.0,MMK
96,3876.351795,96.0,96.0,MNT
97,9.031247,97.0,97.0,MOP
98,401.506675,98.0,98.0,MRO
99,50.861819,99.0,99.0,MUR
100,17.331576,100.0,100.0,MVR
101,1182.609779,101.0,101.0,MWK
102,18.833546,102.0,102.0,MXN
103,5.090296,103.0,103.0,MYR
104,71.135745,104.0,104.0,MZN
105,20.424415,105.0,105.0,NAD
106,873.309747,106.0,106.0,NGN
107,41.0334,107.0,107.0,NIO
108,11.304403,108.0,108.0,NOK
109,147.40629,109.0,109.0,NPR
110,1.765433,110.0,110.0,NZD
111,0.43225,111.0,111.0,OMR
112,1.12182,112.0,112.0,PAB
113,4.011655,113.0,113.0,PEN
114,4.061347,114.0,114.0,PGK
115,61.126187,115.0,115.0,PHP
116,307.392357,116.0,116.0,PKR
117,4.461809,117.0,117.0,PLN
118,8138.690907,118.0,118.0,PYG
119,4.094963,119.0,119.0,QAR
120,4.943825,120.0,120.0,RON
121,117.257139,121.0,121.0,RSD
122,101.501806,122.0,122.0,RUB
123,1309.689339,123.0,123.0,RWF
124,4.220498,124.0,124.0,SAR
125,9.412116,125.0,125.0,SBD
126,14.951394,126.0,126.0,SCR
127,676.4926,127.0,127.0,SDG
128,11.416657,128.0,128.0,SEK
129,1.48558,129.0,129.0,SGD
130,1.368442,130.0,130.0,SHP
131,22.476269,131.0,131.0,SLE
132,22212.215089,132.0,132.0,SLL
133,639.378504,133.0,133.0,SOS
134,42.854958,134.0,134.0,SRD
135,23278.379654,135.0,135.0,STD
136,9.816421,136.0,136.0,SVC
137,2825.763732,137.0,137.0,SYP
138,20.233745,138.0,138.0,SZL
139,38.933838,139.0,139.0,THB
140,12.278825,140.0,140.0,TJS
141,3.936342,141.0,141.0,TMT
142,3.413413,142.0,142.0,TND
143,2.610526,143.0,143.0,TOP
144,29.432932,144.0,144.0,TRY
145,7.616775,145.0,145.0,TTD
146,34.68986,146.0,146.0,TWD
147,2744.058623,147.0,147.0,TZS
148,41.223069,148.0,148.0,UAH
149,4115.338056,149.0,149.0,UGX
150,1.124669,150.0,150.0,USD
151,42.783118,151.0,151.0,UYU
152,12988.910759,152.0,152.0,UZS
153,3190514.035713,153.0,153.0,VEF
154,31.963158,154.0,154.0,VES
155,26589.989177,155.0,155.0,VND
156,131.250731,156.0,156.0,VUV
157,3.021638,157.0,157.0,WST
158,655.851508,158.0,158.0,XAF
159,0.045129,159.0,159.0,XAG
160,0.000575,160.0,160.0,XAU
161,3.039475,161.0,161.0,XCD
162,0.835766,162.0,162.0,XDR
163,655.851508,163.0,163.0,XOF
164,120.171302,164.0,164.0,XPF
165,281.561318,165.0,165.0,YER
166,20.362252,166.0,166.0,ZAR
167,10123.375531,167.0,167.0,ZMK
168,20.866644,168.0,168.0,ZMW
169,362.142991,169.0,169.0,ZWL
170,4.131027,170.0,AED,
171,96.584465,171.0,AFN,
172,103.283387,172.0,ALL,
173,437.629608,173.0,AMD,
174,2.021875,174.0,ANG,
175,926.402426,175.0,AOA,
176,297.54874,176.0,ARS,
177,1.644494,177.0,AUD,
178,2.027216,178.0,AWG,
179,1.916402,179.0,AZN,
180,1.955485,180.0,BAM,
181,2.265136,181.0,BBD,
182,122.030372,182.0,BDT,
183,1.955685,183.0,BGN,
184,0.423232,184.0,BHD,
185,3173.789502,185.0,BIF,
186,1.124669,186.0,BMD,
187,1.481462,187.0,BND,
188,7.751753,188.0,BOB,
189,5.401488,189.0,BRL,
190,1.12182,190.0,BSD,
191,3.70602e-05,191.0,BTC,
192,92.128881,192.0,BTN,
193,14.722632,193.0,BWP,
194,2.831745,194.0,BYN,
195,22043.514343,195.0,BYR,
196,2.261336,196.0,BZD,
197,1.487657,197.0,CAD,
198,2772.309736,198.0,CDF,
199,0.970887,199.0,CHF,
200,0.033178,200.0,CLF,
201,910.303579,201.0,CLP,
202,8.031379,202.0,CNY,
203,4597.460507,203.0,COP,
204,610.301834,204.0,CRC,
205,1.124669,205.0,CUC,
206,29.803731,206.0,CUP,
207,110.242268,207.0,CVE,
208,23.816837,208.0,CZK,
209,199.747871,209.0,DJF,
210,7.461509,210.0,DKK,
211,62.779902,211.0,DOP,
212,150.919725,212.0,DZD,
213,34.69242,213.0,EGP,
214,16.870036,214.0,ERN,
215,61.751567,215.0,ETB,
216,1.0,216.0,EUR,
217,2.450884,217.0,FJD,
218,0.857773,218.0,FKP,
219,0.859116,219.0,GBP,
220,2.896068,220.0,GEL,
221,0.857773,221.0,GGP,
222,12.760947,222.0,GHS,
223,0.857773,223.0,GIP,
224,67.08695,224.0,GMD,
225,9645.448548,225.0,GNF,
226,8.803584,226.0,GTQ,
227,235.762078,227.0,GYD,
228,8.789069,228.0,HKD,
229,27.612559,229.0,HNL,
